"주택유형별","지역별","항목","단위","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월",
"종합","영등포","매매가격","","92.59182258","92.56316247","92.44024437","92.38728869","92.35243329","92.34747467","92.50181643","92.66944275","92.85978301","93.30877681","93.86496564","94.47808337","94.89221115","95.10587294","95.28329559","95.38208435","95.40825336","95.54553355","96.24616674","96.77116955","97.07672298","97.21306458","97.34905009","97.54663933","97.79125684","98.29789674","98.62948425","98.93448792","99.32224433","100","100.6229526","101.2504231","101.8539549","102.4238537","102.8033102","103.0200333","103.0670902","103.0601924","103.0433913","103.084063","103.1339526","103.1324841","103.0942562","102.8529647","102.4561845","101.7086029","100.1782363","98.12939835","96.59444175","95.60017836","94.83244637","94.48017689","94.30635694","94.29843241","94.49578945","94.89398274","95.356484","95.78982468","96.03327722","96.10178302","96.03428478","95.987463","96.03393163",
"종합","동작","매매가격","","92.97852388","92.83060577","92.58331473","92.2942757","92.14731339","92.11111242","92.22096847","92.37944449","92.54601782","93.01232355","93.6904609","94.65595485","95.07810515","95.17673815","95.35424214","95.38005601","95.38066183","95.5157971","95.98686515","96.32926606","96.51034954","96.68661199","96.80001716","96.92782985","97.44824311","98.00201819","98.42389607","98.74783399","99.15885182","100","100.6292851","101.3706527","102.0407275","102.8103127","103.4126326","103.7528125","103.8793335","103.89087","103.9009704","103.9783798","104.0820243","104.1437167","104.1672274","104.1017423","103.7826241","103.2413291","102.0052344","100.1903116","99.3718468","98.4503907","98.09691711","98.05894034","98.06049337","98.08194577","98.1215389","98.12977242","98.18988412","98.32931339","98.36280177","98.23823632","98.17265146","98.16166192","98.22193691",
"종합","관악","매매가격","","94.02189911","93.98968585","93.94037945","93.87506597","93.8320179","93.7985611","93.80920486","93.85495417","93.94547373","94.14004618","94.43725682","95.00017556","95.23489827","95.34923757","95.47991155","95.64888996","95.71340453","95.87516477","96.38944532","96.82378063","97.15725679","97.35114342","97.54458639","97.82568549","98.16704428","98.66131428","98.98131924","99.26702227","99.51065393","100","100.4513515","100.9747252","101.4665602","102.0474078","102.4203153","102.6547956","102.7151619","102.7097375","102.7036967","102.6899112","102.6914946","102.680045","102.6759016","102.5769322","102.1780979","101.4123014","100.2714944","98.68747247","97.3369855","96.48098846","95.88441214","95.51681551","95.2947289","95.12569741","95.13973181","95.30622247","95.52984985","95.80150193","95.85909123","95.78015823","95.71216297","95.57671833","95.48815114",
"종합","동남권","매매가격","","93.21459893","92.70349528","92.23519897","91.93144242","91.75054065","91.71378095","91.81171002","91.9824384","92.16675506","92.81327608","93.52095529","95.22650418","95.63031691","95.59614936","95.49116014","95.08358962","94.69712667","94.8077621","95.56408769","95.84786383","95.98822917","96.06293884","96.1697262","96.43308533","97.04477412","97.59348876","98.00789153","98.42515569","98.94697358","100","100.7156357","101.5406593","102.66413","103.7044829","104.5067974","104.9222438","105.0029951","104.9526374","104.9956168","105.0896243","105.1663288","105.180441","105.1714622","104.9790113","104.5258755","103.5427785","102.1245772","100.4091136","99.43830697","98.73787647","98.45070077","98.32611753","98.63089065","99.13938546","99.49549405","100.0577509","100.5516493","100.8488472","100.9311002","100.8633818","100.6825854","100.6225699","100.6600885",
"종합","서초","매매가격","","93.55645213","93.03446795","92.62342127","92.2096987","92.00395882","91.97646615","92.1357096","92.37186769","92.61948667","93.09334878","93.76825976","95.22998202","95.60579951","95.53816312","95.41363573","94.81226408","94.25724448","94.31277309","94.98358235","95.28662875","95.40997875","95.49882935","95.61879607","95.99830353","96.58863385","97.1672724","97.61856409","98.0334313","98.60969617","100","100.7527991","101.612072","102.5836173","103.6426594","104.5920327","105.1662527","105.2968913","105.3200371","105.4313141","105.558106","105.7373649","105.840799","105.9402417","105.8883043","105.7310405","105.1066754","104.2209242","103.1144387","102.4243771","101.9519142","101.7614122","101.7411703","102.0750729","102.4272229","102.5936129","102.8571212","103.1275993","103.2697533","103.2724909","103.1380834","102.9608117","102.8343043","102.8339642",
"종합","강남","매매가격","","93.13752589","92.37638926","91.77196629","91.55872362","91.5269215","91.54273348","91.69347286","91.89796843","92.06474908","92.86968784","93.67528384","95.77579753","96.21515595","96.12809662","95.93885068","95.32110298","94.71873639","94.79768907","95.46502148","95.78953071","95.94737099","96.01554742","96.09039415","96.33949555","96.87952698","97.43253179","97.86935591","98.3588471","98.94732374","100","100.7469103","101.55453","102.7961579","103.9174348","104.6783373","105.1350087","105.2083353","105.1761487","105.1934407","105.3391264","105.4347252","105.4624605","105.4449226","105.3016535","104.8989226","104.0530937","102.7641548","101.2482091","100.3468373","99.71759066","99.36861164","99.30673496","99.62752263","100.0767168","100.4093749","100.9009604","101.369744","101.6145251","101.569107","101.4589566","101.3927817","101.3017563","101.2796926",
"종합","송파","매매가격","","92.51710932","92.21780981","91.90706885","91.77119857","91.71289557","91.71793086","91.83759805","91.97772982","92.1262601","92.78606016","93.50011715","95.10451386","95.49621377","95.43728849","95.27068335","94.92847709","94.66641638","94.89441217","95.7580762","96.02809912","96.13849792","96.19896151","96.29499739","96.50745764","97.17703455","97.72927067","98.16505512","98.60045173","99.120158","100","100.6847426","101.574214","102.8922951","104.0127485","104.8834575","105.2388297","105.3362298","105.2370363","105.2996787","105.3554274","105.3747181","105.3257256","105.2536529","104.8763198","104.1485726","102.7820366","101.0046797","98.81312897","97.91265043","97.22457428","96.88928814","96.64109014","97.07425324","97.97471911","98.52013242","99.48055503","100.1721909","100.547153","100.6902649","100.6725462","100.3380043","100.3425568","100.4872038",
"종합","강동","매매가격","","94.15184119","93.65341704","93.05117433","92.45167804","91.87552909","91.68269588","91.60154173","91.70410085","91.90478336","92.49037658","93.08345496","94.66264619","95.06825946","95.1854271","95.32202249","95.3123667","95.20694243","95.22606434","96.02257046","96.25063453","96.43577147","96.52781878","96.68290068","96.92227785","97.56129153","98.06464084","98.37045403","98.65850351","99.02993584","100","100.6821045","101.3839431","102.1746349","102.9426126","103.5260578","103.8095953","103.8180547","103.7436517","103.7151864","103.7643896","103.798965","103.8026485","103.7940276","103.6911112","103.3099298","102.3951875","100.8322362","98.99791901","97.58627423","96.57907078","96.34813556","96.24008224","96.30812398","96.44627913","96.72190871","97.05229734","97.48833994","97.87289835","98.08633816","98.05606091","97.97290097","97.90922232","97.88642428",
"종합","경기","매매가격","","84.51348179","84.41659412","84.26629463","83.9993952","83.78755482","83.64368584","83.58484411","83.59569727","83.68904774","83.84204786","84.07903735","84.49782257","84.90588123","85.56860434","86.69337291","87.34586147","87.69664885","88.29481778","89.14082937","89.74625337","90.28180178","90.65411771","91.3236021","92.22472795","93.24712207","94.77007079","95.97858338","97.10105129","98.1155498","100","101.5216497","103.2264204","104.8266981","106.2166408","107.1316817","107.4945125","107.5489478","107.5111449","107.4451155","107.4740911","107.4087823","107.3558042","107.1867116","106.7009927","105.9404907","104.7740124","102.7709087","99.80793118","97.54743312","95.76911214","94.67121498","94.07421233","93.84865637","93.85908766","94.00690765","94.31142457","94.81914806","95.21588165","95.31032556","95.18529664","94.96432038","94.76903678","94.5906817",
"종합","경부1권","매매가격","","82.51849331","82.26312015","81.90794303","81.45641493","81.10513281","80.87518972","80.85086944","80.99003052","81.32278951","81.82080596","82.36624189","83.3275617","83.84357597","84.3829032","85.64371728","86.49002291","86.96623061","87.33009651","88.04365321","88.72895928","89.28554711","89.73258207","90.30800294","91.08279537","92.03957368","93.60832312","94.90946545","96.19947408","97.67185175","100","101.930912","103.8064293","105.3244655","106.6518044","107.5460456","107.9066419","107.8977078","107.8727188","107.8355594","107.8900159","107.929123","107.9580647","107.8586477","107.4052871","106.6673068","105.4890579","103.0219447","99.52436853","97.09384334","95.26356838","94.14445087","93.46190293","93.31355171","93.4312374","93.77284323","94.24392768","94.9458276","95.57487137","95.8353926","95.81265441","95.51734172","95.23919281","94.92290138",
